@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.13,720,1680,1386,294,0,82.5,17.5,0,0.805556,0.039538,0.165455,21.965618,55.151758,5580.839199,2245.365549,3335.47365,3.321928,1.336527,1.985401,4623.885217,2.752313,82.852866,0.494048,83,0.035714,54,0.964286,1458,0.505952,85,0.605839,0.494048,0.544262,0.502422,0.915088,0.610413,0.825,0.019444,0.980556,0.175,0.837186,0.825,0.826503,0.809963,0.96851,0.861178,0.826503,0.825,12.766,0.021,12.708006,0.020766,12708.006,20.766,106874,312633,724473,91.607143,13.827381,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1301,720,1680,1309,371,0,77.916667,22.083333,0,0.75463,0.045708,0.195103,25.393059,65.034234,5580.839199,6931.348423,-1350.509223,3.321928,4.125803,-0.803875,4344.088409,2.585767,77.83934,0.232143,39,0.015212,23,0.984788,1489,0.767857,129,0.629032,0.232143,0.33913,0.345197,0.910088,0.511318,0.779167,0.024537,0.975463,0.220833,0.775344,0.779167,0.763218,0.747422,0.960913,0.824273,0.763218,0.779167,38.053,0.094,37.751395,0.093572,37751.395,93.572,300365,597370,1385530,82.738095,12.422619,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1301,720,1680,1274,406,0,75.833333,24.166667,0,0.731481,0.051714,0.202204,28.729875,67.401359,5580.839199,4388.892877,1191.946323,3.321928,2.612436,0.709492,4229.290322,2.517435,75.782336,0.339286,57,0.019841,30,0.980159,1482,0.660714,111,0.655172,0.339286,0.447059,0.432472,0.860796,0.517714,0.758333,0.026852,0.973148,0.241667,0.755932,0.758333,0.751001,0.727988,0.948004,0.793408,0.751001,0.758333,4.82,0.014,4.776987,0.01447,4776.987,14.47,40029,144115,333235,84.107143,13.428571,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1301,720,1680,1392,288,0,82.857143,17.142857,0,0.809524,0.038623,0.169922,21.457066,56.64051,5580.839199,2706.298977,2874.540223,3.321928,1.610892,1.711036,4615.705967,2.747444,82.706306,0.464286,78,0.029101,44,0.970899,1468,0.535714,90,0.639344,0.464286,0.537931,0.503085,0.921655,0.558085,0.828571,0.019048,0.980952,0.171429,0.836262,0.828571,0.828704,0.812045,0.967811,0.853827,0.828704,0.828571,14.846,0.039,14.708726,0.039039,14708.726,39.039,106874,312633,724473,89.52381,12.85119,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1301,720,1680,1260,420,0,75,25,0,0.722222,0.051525,0.210407,28.624991,70.13568,5580.839199,8699.953011,-3119.113812,3.321928,5.178543,-1.856615,4183.219739,2.490012,74.956823,0.678571,114,0.074735,113,0.925265,1399,0.321429,54,0.502203,0.678571,0.577215,0.529912,0.914714,0.526866,0.75,0.027778,0.972222,0.25,0.792289,0.75,0.731968,0.726163,0.959632,0.802872,0.731968,0.75,37.244,0.078,36.791454,0.072649,36791.454,72.649,300365,597370,1385530,80.059524,12.136905,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.9 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1302,720,1680,1260,420,0,75,25,0,0.722222,0.052079,0.205538,28.932571,68.512829,5580.839199,4775.335406,805.503793,3.321928,2.842462,0.479467,4189.045307,2.493479,75.061208,0.517857,87,0.070767,107,0.929233,1405,0.482143,81,0.448454,0.517857,0.480663,0.419677,0.87398,0.429018,0.75,0.027778,0.972222,0.25,0.748206,0.75,0.745155,0.719947,0.943321,0.775958,0.745155,0.75,3.677,0.009,3.573475,0.009413,3573.475,9.413,40029,144115,333235,83.511905,13.005952,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.9 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1302,720,1680,1373,307,0,81.72619,18.27381,0,0.796958,0.040453,0.175421,22.473737,58.473594,5580.839199,2840.913809,2739.925391,3.321928,1.69102,1.630908,4556.287398,2.712076,81.641618,0.261905,44,0.013889,21,0.986111,1491,0.738095,124,0.676923,0.261905,0.377682,0.385804,0.916135,0.560606,0.817262,0.020304,0.979696,0.182738,0.837268,0.817262,0.812102,0.801304,0.966957,0.853119,0.812102,0.817262,10.257,0.025,9.690103,0.023227,9690.103,23.227,106874,312633,724473,89.52381,13.059524,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.9 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1302,720,1680,1256,424,0,74.761905,25.238095,0,0.719577,0.054515,0.213386,30.286267,71.128556,5580.839199,7768.746089,-2187.90689,3.321928,4.624254,-1.302326,4121.14947,2.453065,73.844619,0.761905,128,0.085317,129,0.914683,1383,0.238095,40,0.498054,0.761905,0.602353,0.563878,0.907848,0.508685,0.747619,0.028042,0.971958,0.252381,0.77169,0.747619,0.746233,0.72676,0.957801,0.797657,0.746233,0.747619,37.423,0.073,35.876506,0.06994,35876.506,69.94,300365,597370,1385530,80.77381,12.744048,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1302,720,1680,1303,377,0,77.559524,22.440476,0,0.750661,0.048746,0.196529,27.081184,65.509687,5580.839199,4473.447895,1107.391305,3.321928,2.662767,0.659161,4310.374029,2.565699,77.235231,0.345238,58,0.018519,28,0.981481,1484,0.654762,110,0.674419,0.345238,0.456693,0.444746,0.840207,0.526727,0.775595,0.024934,0.975066,0.224405,0.790956,0.775595,0.773927,0.754889,0.946208,0.79825,0.773927,0.775595,3.132,0.01,3.065211,0.00905,3065.211,9.05,40029,144115,333235,85.059524,13.10119,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 1.0 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1303,720,1680,1311,369,0,78.035714,21.964286,0,0.755952,0.048216,0.191882,26.786399,63.960726,5580.839199,3853.089919,1727.74928,3.321928,2.293506,1.028422,4338.846384,2.582647,77.745411,0.184524,31,0.021164,32,0.978836,1480,0.815476,137,0.492063,0.184524,0.268398,0.257959,0.886062,0.466263,0.780357,0.024405,0.975595,0.219643,0.79699,0.780357,0.774266,0.759219,0.955171,0.814816,0.774266,0.780357,13.478,0.034,13.074193,0.033039,13074.193,33.039,106874,312633,724473,87.559524,13.630952,?
